496,126,983,251,1960,519,3909,1036,22166,5848,44851,11729
493,126,983,251,1962,519,3910,1035,22162,5850,44864,11734
493,126,983,252,1961,519,3908,1033,22165,5851,44860,11735
493,126,983,251,1961,519,3909,1033,22155,5849,44868,11736
493,126,981,251,1960,518,3906,1032,22159,5850,44878,11737
493,126,982,251,1962,519,3909,1032,22162,5850,44874,11736
493,126,981,251,1960,518,3907,1033,22171,5853,44859,11732
493,126,983,251,1960,519,3907,1032,22153,5850,44867,11741
493,126,983,251,1962,519,3911,1035,22168,5852,44886,11740
496,126,983,251,1961,519,3910,1035,22173,5856,44906,11748
496,126,983,252,1962,519,3911,1035,22176,5856,44907,11745
496,126,984,251,1963,519,3911,1035,22170,5858,44885,11741
496,126,984,252,1962,519,3910,1036,22166,5852,44899,11744
496,126,984,252,1963,519,3912,1036,22184,5858,44910,11751
496,126,983,252,1962,519,3910,1036,22190,5859,44930,11754
496,126,983,252,1963,519,3910,1036,22189,5859,44912,11750
496,126,983,252,1962,519,3909,1033,22177,5858,44887,11746
496,126,983,251,1962,519,3909,1033,22164,5857,44879,11743
496,126,983,251,1962,519,3911,1035,22175,5856,44880,11742
496,126,983,252,1963,519,3912,1033,22168,5853,44886,11744
496,126,983,252,1963,519,3909,1033,22170,5857,44884,11739
496,126,984,251,1960,519,3908,1032,22169,5850,44889,11742
496,126,983,251,1961,519,3908,1033,22162,5853,44858,11736
493,126,983,251,1961,519,3909,1035,22162,5851,44865,11736
493,126,983,251,1962,519,3907,1035,22164,5857,44853,11736
493,126,982,251,1960,519,3907,1035,22167,5850,44875,11741
496,126,983,251,1961,519,3910,1035,22179,5858,44865,11741
493,126,983,251,1961,519,3908,1033,22170,5856,44864,11737
493,126,982,251,1962,519,3910,1035,22166,5856,44865,11740
493,126,981,251,1961,519,3908,1033,22165,5848,44885,11744
493,126,982,251,1961,519,3910,1035,22166,5847,44890,11743
493,126,983,251,1961,519,3909,1033,22171,5853,44878,11739
493,126,982,251,1960,519,3907,1032,22169,5852,44827,11728
493,126,982,251,1960,519,3906,1033,22158,5848,44834,11728
493,126,982,251,1961,519,3909,1033,22164,5853,44847,11732
496,126,983,251,1959,519,3909,1033,22166,5850,44854,11734
493,126,983,251,1960,519,3907,1033,22169,5848,44857,11735
493,126,982,251,1960,519,3908,1036,22159,5856,44873,11743
493,126,983,251,1961,519,3907,1033,22175,5852,44876,11748
493,126,983,251,1961,519,3907,1033,22161,5852,44860,11743
493,126,983,251,1961,519,3908,1036,22169,5854,44866,11742
493,126,983,252,1961,519,3907,1035,22170,5858,44866,11741
496,126,983,251,1961,519,3909,1033,22174,5856,44890,11741
496,126,983,251,1962,519,3907,1032,22166,5850,44874,11737
496,126,984,251,1962,519,3912,1033,22170,5851,44888,11739
496,126,984,251,1964,519,3911,1035,22166,5852,44908,11745
496,126,984,251,1964,519,3910,1036,22167,5853,44915,11751
496,126,984,251,1962,519,3910,1036,22184,5858,44897,11747
496,126,983,252,1962,519,3910,1036,22172,5858,44904,11746
496,126,983,252,1962,519,3910,1036,22161,5857,44876,11740
496,126,982,252,1962,519,3910,1036,22172,5854,44903,11752
496,126,983,251,1961,519,3907,1035,22160,5852,44874,11744
496,126,983,251,1962,519,3911,1036,22165,5858,44888,11746
496,126,984,251,1963,519,3909,1035,22173,5858,44871,11740
496,126,984,251,1962,519,3908,1033,22179,5856,44902,11747
496,126,984,251,1961,519,3910,1035,22167,5856,44887,11743
496,126,984,252,1963,519,3910,1036,22167,5857,44874,11740
